Applicant_ID,Applicant_City,Applicant_State__Region,Applicant_Zip_Postal_Code,Position_Title,Req_Number,Location,Division,Applicant_Status,Last_Hiring_Stage,Source,Applicant_Apply_Method,Entry_Date,Ethnicity,Gender,EEO_Veteran_Status__Pre_Offer_,Cycle,ObjectId
63217447,Mill Creek,IN,46365,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Word of Mouth,Mobile,2018-10-29T23:43:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,1
51041583,Walkerton,IN,46574,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,Hired,"Passed Polygraph, Medical, Psych, and Hired",Job/Career Fair,Web,2017-05-08T15:05:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Fall 2017,2
63244731,Bedford,IN,47421,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Other,Web,2018-10-31T06:36:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,3
63326694,Mishawaka,IN,46544,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Company Website,Web,2018-11-05T13:28:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,4
50555166,Niles,MI,49120,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2018-11-06T14:00:00.000Z,Black or African American (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,5
63419495,Merrillville,IN,46410,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,HM - No Show Written (Police),Passed Physical Test,Internet/Job Board,Mobile,2018-11-09T18:31:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,6
63566164,Elkhart,IN,46517,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,HR - Withdrew,Disqualified/Withdrew/Incomplete,Company Website,Web,2018-11-17T22:57:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,7
63632868,Valparaiso,IN,46383,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Company Website,Web,2018-11-21T21:40:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,8
63657105,Michigan City,IN,46360,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,Other,Web,2018-11-24T06:49:00.000Z,Hispanic or Latino,Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,9
63666161,elkhart,IN,46517,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Word of Mouth,Web,2018-11-25T00:54:00.000Z,Prefer not to answer,Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,10
63797514,SOUTH BEND,IN,46614,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2018-12-01T02:01:00.000Z,White (Not Hispanic or Latino),Female,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,11
63797593,Merrillville,IN,46410,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,Internet/Job Board,Web,2018-12-01T02:08:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,12
63839872,Mishawaka,IN,46545,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Employee Referral,Web,2018-12-03T19:11:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,13
53947340,Mishawaka,IN,46544,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Other,Web,2018-10-11T14:15:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,14
54040444,Fort Wayne,IN,46818,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,Internet/Job Board,Mobile,2018-10-12T20:25:00.000Z,Asian (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,15
62917913,Richton Park,IL,60471,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Not Qualified,Submitted Application,Internet/Job Board,Mobile,2018-10-13T16:18:00.000Z,Black or African American (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,16
40996353,Mishawaka,IN,46545,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2018-10-15T01:42:00.000Z,Two or More Races (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,17
62936788,South Bend,IN,46619,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2018-10-15T01:48:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,18
63172596,New Carlisle,IN,46552,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2018-10-26T21:43:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,19
58734116,New Buffalo,MI,49117,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,HM - Reviewed Disqualified (Police),Submitted Application,Employee Referral,Web,2018-10-31T00:05:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,20
63368673,Winona Lake,IN,46590,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,HR - Withdrew,Disqualified/Withdrew/Incomplete,Other,Web,2018-11-07T06:01:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,21
39689923,Knox,IN,46534,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,HM - Oral Board Fail (Police),Completed Interview,Internet/Job Board,Web,2018-11-11T04:00:00.000Z,White (Not Hispanic or Latino),Female,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,22
50569218,Mishawaka,IN,46545,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,Internet/Job Board,Mobile,2018-11-12T10:09:00.000Z,Black or African American (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,23
63959002,Michigan City,IN,46360,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Other,Mobile,2018-12-10T03:02:00.000Z,Black or African American (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,24
64208371,Niles,MI,49120,Police Officer Recruit,PUB-18-00005,South Bend Police Department,Police,HM - Fitness Test Fail (Police),Took Physical Test,Company Website,Mobile,2018-12-24T19:33:00.000Z,Two or More Races (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2019,25
50554722,Mishawaka,IN,46544,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-04-14T08:55:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Summer 2017,26
59022316,New Carlisle,IN,46552,Police Officer Recruit,PUB-18-00004,South Bend Police Department,Police,Hired,"Passed Polygraph, Medical, Psych, and Hired",Employee Referral,Web,2018-05-08T13:54:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Spring 2019,27
50584812,Clifton,NJ,7011,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-04-16T20:05:00.000Z,Black or African American (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Summer 2017,28
50379300,Elkhart,IN,46516,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-04-17T00:46:00.000Z,Prefer not to answer,Male,I DON'T WISH TO ANSWER,Summer 2017,29
51797214,Osceola,IN,46561,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-06-12T05:37:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Fall 2017,30
52245646,Mishawaka,IN,46544,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-06-30T23:49:00.000Z,Two or More Races (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Fall 2017,31
52458645,LaPorte,IN,46350,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Other,Web,2017-07-11T17:29:00.000Z,White (Not Hispanic or Latino),Female,I DON'T WISH TO ANSWER,Fall 2017,32
52744081,Granger,IN,46530,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Web,2017-07-24T14:09:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Fall 2017,33
47683334,Leavenworth,IN,47137,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,HM - Fitness Test Info Sent (Police),Submitted Application,Internet/Job Board,Mobile,2017-04-21T05:27:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Summer 2017,34
45289415,South Bend,IN,46619,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,HM - Fitness Test Info Sent (Police),Submitted Application,Employee Referral,Web,2017-05-09T23:51:00.000Z,Black or African American (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Fall 2017,35
54019590,Grovertown,IN,46531,Police Officer Recruit,PUB-17-00004,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Web,2017-09-18T02:53:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Spring 2018,36
40045904,Osceola,IN,46561,Police Officer Recruit,PUB-17-00004,South Bend Police Department,Police,OF - Withdrawn,Disqualified/Withdrew/Incomplete,Employee Referral,Mobile,2017-10-04T13:25:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Spring 2018,37
54747424,Columbus,IN,47203,Police Officer Recruit,PUB-17-00004,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Web,2017-10-20T14:53:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Spring 2018,38
52408679,Warsaw,IN,46582,Police Officer Recruit,PUB-17-00004,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-11-05T20:50:00.000Z,Hispanic or Latino,Male,I DON'T WISH TO ANSWER,Spring 2018,39
51032205,Niles,MI,49120,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,Internet/Job Board,Web,2017-05-08T01:13:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Fall 2017,40
51081390,Fort Wayne,IN,46816,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,College/University,Web,2017-05-09T21:18:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Fall 2017,41
51435050,South Bend,IN,46617,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,Newspaper,Web,2017-05-25T23:12:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Fall 2017,42
52408679,Warsaw,IN,46582,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,Internet/Job Board,Mobile,2017-07-09T20:07:00.000Z,Hispanic or Latino,Male,I DON'T WISH TO ANSWER,Fall 2017,43
54383412,South Bend,IN,46614,Police Officer Recruit,PUB-17-00004,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,Word of Mouth,Web,2017-10-04T04:04:00.000Z,Black or African American (Not Hispanic or Latino),Female,I DON'T WISH TO ANSWER,Spring 2018,44
50379300,Elkhart,IN,46516,Police Officer Recruit,PUB-17-00004,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,Internet/Job Board,Web,2017-10-13T01:56:00.000Z,Prefer not to answer,Male,I DON'T WISH TO ANSWER,Spring 2018,45
39918566,South Bend,IN,46615,Police Officer Recruit,PUB-17-00004,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,Company Website,Web,2017-10-15T00:49:00.000Z,Hispanic or Latino,Female,I DON'T WISH TO ANSWER,Spring 2018,46
55490322,South Bend,IN,46619,Police Officer Recruit,PUB-17-00004,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Company Website,Mobile,2017-11-26T16:02:00.000Z,Prefer not to answer,Male,I DON'T WISH TO ANSWER,Spring 2018,47
55772267,Merrillville,IN,46410,Police Officer Recruit,PUB-17-00006,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-12-09T15:19:00.000Z,Two or More Races (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Summer 2018,48
47740261,Laporte,IN,60914,Police Officer Recruit,PUB-17-00006,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-12-13T17:21:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Summer 2018,49
58398613,Waukegan,IL,60079,Police Officer Recruit,PUB-17-00006,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2018-04-08T14:06:00.000Z,Black or African American (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Summer 2018,50
46154822,MISHAWAKA,IN,46544,Police Officer Recruit,PUB-17-00006,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Other,Mobile,2018-04-15T21:54:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Summer 2018,51
51618383,Niles,MI,49120,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,HM - No Show Fitness (Police),Submitted Application,Word of Mouth,Web,2017-06-04T02:26:00.000Z,White (Not Hispanic or Latino),Male,I DON'T WISH TO ANSWER,Fall 2017,52
50541217,Owatonna,MN,55060,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-04-13T17:22:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2017,53
50551945,Hammond,IN,46323,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-04-14T02:10:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2017,54
50668962,South Bend,IN,46613,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Word of Mouth,Web,2017-04-20T11:51:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2017,55
50686344,McFarland,WI,53558,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Web,2017-04-21T00:08:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2017,56
50713735,Bremen,IN,46506,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,AP - Qualified (emailed),Submitted Application,Internet/Job Board,Web,2017-04-22T14:28:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2017,57
50786136,New Carlisle,IN,46552,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Web,2017-04-25T22:31:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2017,58
50787319,NILES,MI,49120,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-04-25T23:17:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2017,59
50793537,Tuscola,IL,61953,Police Officer Recruit,PUB-16-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-04-26T05:28:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Summer 2017,60
50939373,South Bend,IN,46628,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-05-04T18:21:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Fall 2017,61
51003906,Tallahassee,FL,32311-8761,Police Officer Recruit,PUB-17-00002,South Bend Police Department,Police,AP - Incomplete,Disqualified/Withdrew/Incomplete,Internet/Job Board,Mobile,2017-05-05T22:37:00.000Z,White (Not Hispanic or Latino),Male,I IDENTIFY AS ONE OR MORE OF THE CLASSIFICATIONS OF PROTECTED VETERAN LISTED ABOVE,Fall 2017,62
